no.college.degree	below.200pc.Poverty.Level	Non.white.minority.population	Adults.No.Health.Insurance	Adults.No.Leisure.Time	Percent.Under.5.years	Percent.65.Years.and.Older	Percent.Foreign.born	Diesel	Benzene	Hazard.Ranking	Tree.Canopy	sq.ft.park.person	toxic.facilities	life.expectancy.at.birth	overweight.or.obese	heart.dz.death.per.100k	stroke.deaths.per.100k	percent.diabetes	percent.hypertension	child.hospitalization.asthma.rate	percent.adult.smokers	lung.cancer.death.per.100k	assault.hosp.per.100k
98102	-0.940935614372185	-0.417414785914308	-0.838478955998202	-1.07188440151574	-0.23441951748178	-1.90632352989489	-1.00436416492588	-0.70548110459852	1.42768342275719	1.71012281140263	-0.454124908456697	-0.784615784733006	-0.569296232960504	-0.408998493477652	0.747960063737886	-0.645960955886159	-0.965219522572606	-0.0708980176206723	-1.24350662436202	-1.02293056772537	-0.594866565585754	1.54348726628258	-1.40590706699181	-0.799349603761181
98105	-1.39669228840899	1.5267088745085	-0.360946046219852	-0.357294800505248	-1.01581790908772	-1.13187959587509	-1.39315029328429	-0.396059567493906	-0.236714349887202	-0.156636091885059	-0.165791633246096	0.67822720375226	-0.669914160313015	-0.579414532426674	1.75418436473056	-2.05022390346477	-1.24188720970484	-1.98514449337883	-1.24350662436202	-1.78631158841594	0.918040863919054	-1.54348726628258	-0.929606775604397	-0.865934327106553
98106	0.98016530277029	0.131514247616837	0.508077807611019	0.893237001263121	-0.0781398391605935	1.31059742680274	-0.809971100746679	0.178580429986091	-0.0517812640378255	-0.650147066317438	1.63629133682016	-0.11968715360334	1.07480069997952	0.102249623369413	-0.895539627883483	1.32000717072389	0.897416455585269	0.974847742284247	0.310876656090504	-0.10687334289668	0.717094871635759	0.257247877713763	0.121538695043684	0.765391394855042
98107	-0.38133564751687	-0.829111561062666	-0.997656592590985	-0.893237001263121	-0.703258552445341	-0.178717830927646	-0.45358381641814	-0.891134026861288	-0.976446693284709	-1.07928704408472	1.13170810520161	-1.31655868963674	-0.798705107324229	0.528289720741968	-0.0905601870893443	-0.505534661128298	0.344081081320796	0.0177245044051684	0.310876656090504	0.351155269517664	-0.5915451442257	0	0.819564984145925	-0.669509393237708
98108	1.36669311492809	0.714751345743678	1.4717478237403	0.357294800505248	2.26605533565721	0.89358915463823	0.615578036567476	1.96438472984701	1.61261650860656	1.28098283363535	-0.742458183667299	-1.05058723718487	-0.00784819833349578	2.65849020760474	-0.191182617188611	0.337023107418865	-0.47423179611258	0.965985490081663	0.310876656090504	0.0458028612414346	1.34982564072613	0	0.0722662511070552	0.698806671509671
98116	-0.156341846410093	-1.22937231467913	-1.03207337888132	1.07188440151574	-0.23441951748178	0.119145220618431	1.13395954104535	-1.02374325704898	0.503017993510305	0.422702878100777	-1.53537469049645	1.07718438243006	-0.245306506885421	-0.579414532426674	0.211307103208461	1.03915458120817	-0.337846316540351	-0.177245044051681	0.310876656090504	0.198479065379549	-0.936972965671364	0	-1.14312069932979	-1.03905460780452
98122	-0.439026365749376	0.543211022765195	-0.0167781833165366	1.07188440151574	0.546978874124154	-0.655298713401368	-0.874768788806413	-0.360697106110522	0.503017993510305	0.851842855868063	0.915458148793659	0.67822720375226	-0.734309633818622	-0.579414532426674	-1.59989663857836	0.337023107418865	2.05864139594311	1.29388882157727	-0.077719164022626	-0.41222575117291	0.466327558951647	0.257247877713763	0.909897798029745	1.27476452844713
98144	0.507101413263734	0.771931453403172	0.826433080796586	0	-0.390699195802967	0.357435661855292	0.907167632836281	0.647133043315935	-1.34631286498346	-0.864717055201081	0.338791598372457	-0.51864433228114	0.0625843508132616	-0.238582454528631	-0.291805047287878	-0.365108366370438	-0.427471060259244	0.257005313874938	-0.466314984135756	0.503831473655779	1.0309691901609	-0.257247877713763	0.0229938071704263	1.18154591576361
98178	1.37246218675134	0.428850807446207	1.4244247425911	0.714589601010496	0.859538230766528	0.953161764947446	0.647976880597343	1.26597611752516	-0.699047064510644	-0.864717055201081	-0.95870814007525	-0.385658606055206	-0.478740098343245	-0.494206512952163	-0.761376387751129	0.898728286450308	-0.57164999580703	-1.17867954294368	2.25385575665615	2.03059351503693	-0.882169513230465	1.28623938856882	1.8050138628785	0.685489726840596
98199	-0.912090255255931	-1.64106908982748	-0.984750297732111	-1.78647400252624	-1.01581790908772	0.238290441236861	1.23115607313495	-0.678959258560981	-0.736033681680519	-0.650147066317438	-0.165791633246096	1.74211301355973	2.36673488718575	-0.408998493477652	1.11690897410187	-0.365108366370438	0.718166968147482	-0.0974847742284242	-0.466314984135756	0.198479065379549	-1.47670393668021	-1.54348726628258	-0.272640856449346	-1.23215030550609
